type_hotel,location,rating,reviewer,distance,type_bed,area,price
62,hotel,"
60 Cầu Gỗ, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,2", · 194 đánh giá,"
2,7 km
","
1 giường đôi lớn

",30 m²,"
VND 2.394.000
"
63,hotel,"
17 Nguyen Van To Street, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","8,6", · 527 đánh giá,"
1,5 km
","
1 giường đôi lớn

",18 m²,"
VND 286.200
"
64,hotel,"
17 Nguyen Van To Street, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","8,6", · 527 đánh giá,"
1,5 km
","
2 giường đơn

",18 m²,"
VND 702.270
"
65,hotel,"
17 Nguyen Van To Street, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","8,6", · 527 đánh giá,"
1,5 km
","
1 giường đôi lớn

",22 m²,"
VND 855.270
"
66,hotel,"
17 Nguyen Van To Street, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","8,6", · 527 đánh giá,"
1,5 km
","
1 giường đôi lớn

",25 m²,"
VND 702.270
"
67,hotel,"
4A Hàng Giấy, Đồng Xuân, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","8,0", · 562 đánh giá,"
2 km
","
2 giường đơn

",24 m²,"
VND 900.000
"
68,hotel,"
4A Hàng Giấy, Đồng Xuân, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","8,0", · 562 đánh giá,"
2 km
","
1 giường đôi

",32 m²,"
VND 1.125.000
"
69,hotel,"
4A Hàng Giấy, Đồng Xuân, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","8,0", · 562 đánh giá,"
2 km
","
1 giường đôi

",35 m²,"
VND 1.080.000
"
70,hotel,"
22/5 Hang Voi Street, Ly Thai To Ward, Hoan Kiem District, Vietnam, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,4", · 1.857 đánh giá,"
2,5 km
","
2 giường đơn

",25 m²,"
VND 1.390.000
"
71,hotel,"
22/5 Hang Voi Street, Ly Thai To Ward, Hoan Kiem District, Vietnam, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,4", · 1.857 đánh giá,"
2,5 km
","
1 giường đôi lớn

",28 m²,"
VND 1.690.000
"
72,hotel,"
22/5 Hang Voi Street, Ly Thai To Ward, Hoan Kiem District, Vietnam, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,4", · 1.857 đánh giá,"
2,5 km
","
1 giường đôi lớn

",30 m²,"
VND 1.990.000
"
73,hotel,"
22/5 Hang Voi Street, Ly Thai To Ward, Hoan Kiem District, Vietnam, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,4", · 1.857 đánh giá,"
2,5 km
","
2 giường đôi lớn

",45 m²,"
VND 3.679.999
"
74,hotel,"
22/5 Hang Voi Street, Ly Thai To Ward, Hoan Kiem District, Vietnam, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,4", · 1.857 đánh giá,"
2,5 km
","
2 giường đơn

",55 m²,"
VND 4.080.000
"
75,hotel,"
9 Hang Muoi, Ly Thai To, Hoan Kiem, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,1", · 289 đánh giá,"
2,7 km
","
2 giường đơn

",22 m²,"
VND 1.620.000
"
76,hotel,"
9 Hang Muoi, Ly Thai To, Hoan Kiem, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,1", · 289 đánh giá,"
2,7 km
","
1 giường đôi

",25 m²,"
VND 1.800.000
"
77,hotel,"
9 Hang Muoi, Ly Thai To, Hoan Kiem, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,1", · 289 đánh giá,"
2,7 km
","
2 giường đơn

",30 m²,"
VND 2.520.000
"
78,hotel,"
9 Hang Muoi, Ly Thai To, Hoan Kiem, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,1", · 289 đánh giá,"
2,7 km
","
1 giường đôi cực lớn

",28 m²,"
VND 3.240.000
"
79,hotel,"
41 Hang Be Street, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","8,6", · 1.329 đánh giá,"
2,7 km
","
2 giường đơn

",22 m²,"
VND 1.400.000
"
80,hotel,"
41 Hang Be Street, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","8,6", · 1.329 đánh giá,"
2,7 km
","
1 giường đôi lớn

",25 m²,"
VND 1.475.000
"
81,hotel,"
41 Hang Be Street, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","8,6", · 1.329 đánh giá,"
2,7 km
","
1 giường đôi lớn

",22 m²,"
VND 1.500.000
"
82,hotel,"
41 Hang Be Street, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","8,6", · 1.329 đánh giá,"
2,7 km
","
2 giường đơn

",26 m²,"
VND 1.750.000
"
83,hotel,"
41 Hang Be Street, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","8,6", · 1.329 đánh giá,"
2,7 km
","
2 giường đơn

",30 m²,"
VND 1.950.000
"
84,hotel,"
02 Nguyen Dinh Hoan, Cau Giay, Hà Nội, Việt Nam
","8,9", · 291 đánh giá,"
5,1 km
","
2 giường đơn

",22 m²,"
VND 1.500.000
"
85,hotel,"
02 Nguyen Dinh Hoan, Cau Giay, Hà Nội, Việt Nam
","8,9", · 291 đánh giá,"
5,1 km
","
1 giường đôi cực lớn

",25 m²,"
VND 1.598.000
"
86,hotel,"
02 Nguyen Dinh Hoan, Cau Giay, Hà Nội, Việt Nam
","8,9", · 291 đánh giá,"
5,1 km
","
1 giường đơn

",25 m²,"
VND 1.600.000
"
87,hotel,"
02 Nguyen Dinh Hoan, Cau Giay, Hà Nội, Việt Nam
","8,9", · 291 đánh giá,"
5,1 km
","
1 giường đôi cực lớn

",22 m²,"
VND 1.630.000
"
88,hotel,"
02 Nguyen Dinh Hoan, Cau Giay, Hà Nội, Việt Nam
","8,9", · 291 đánh giá,"
5,1 km
","
2 giường đôi cực lớn

",28 m²,"
VND 1.858.000
"
89,hotel,"
02 Nguyen Dinh Hoan, Cau Giay, Hà Nội, Việt Nam
","8,9", · 291 đánh giá,"
5,1 km
","
2 giường đơn

",30 m²,"
VND 1.858.000
"
90,hotel,"
02 Nguyen Dinh Hoan, Cau Giay, Hà Nội, Việt Nam
","8,9", · 291 đánh giá,"
5,1 km
","
1 giường đôi cực lớn

",28 m²,"
VND 1.998.000
"
91,hotel,"
02 Nguyen Dinh Hoan, Cau Giay, Hà Nội, Việt Nam
","8,9", · 291 đánh giá,"
5,1 km
","
1 giường đơn

",58 m²,"
VND 1.900.000
"
92,hotel,"
11 Cau Go, Old Quarter, Hoan Kiem, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,2", · 339 đánh giá,"
2,8 km
","
1 giường đôi cực lớn

",25 m²,"
VND 1.665.000
"
93,hotel,"
11 Cau Go, Old Quarter, Hoan Kiem, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,2", · 339 đánh giá,"
2,8 km
","
1 giường đôi lớn

",18 m²,"
VND 3.330.000
"
94,hotel,"
11 Cau Go, Old Quarter, Hoan Kiem, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,2", · 339 đánh giá,"
2,8 km
","
1 giường đơn

",23 m²,"
VND 1.890.000
"
95,hotel,"
11 Cau Go, Old Quarter, Hoan Kiem, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,2", · 339 đánh giá,"
2,8 km
","
1 giường đôi lớn

",32 m²,"
VND 3.780.000
"
96,hotel,"
11 Cau Go, Old Quarter, Hoan Kiem, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,2", · 339 đánh giá,"
2,8 km
","
1 giường đơn

",32 m²,"
VND 1.980.000
"
97,hotel,"
11 Cau Go, Old Quarter, Hoan Kiem, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,2", · 339 đánh giá,"
2,8 km
","
1 giường đôi lớn

",30 m²,"
VND 3.960.000
"
98,hotel,"
11 Cau Go, Old Quarter, Hoan Kiem, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,2", · 339 đánh giá,"
2,8 km
","
2 giường đôi lớn

",40 m²,"
VND 2.115.000
"
